year,adm1,adm3,adm1-adm3,asdf_id,shapeID,qfirms,sales,labour,sercotec,bdd,add,rank_qfirms,rank_sales,rank_labour,rank_sercotec,rank_bdd,rank_add,COORD_X,COORD_Y
2021,"Lagos, Los",San Juan de la Costa,Lago-San ,220,CHL-ADM3-31136180B64880471,214,  27.768298999999999,208,  17.290756999999999,  17.290756999999999,   0.000000000000000,316,69,329,306,303,307, -73.569373999999996, -40.511488000000000
2021,Arica y Parinacota,Arica,Aric-Aric,221,CHL-ADM3-31136180B68036932,13160,  27.230084999999999,44934,  21.661898000000001,  21.419398000000001,  20.126346000000002,15,101,22,4,8,7, -69.950693000000001, -18.497292999999999
2021,"Rios, Los",Mariquina,Rios-Mari,222,CHL-ADM3-31136180B45841113,1160,  24.790234000000002,3701,  18.903673999999999,  18.903673999999999,   0.000000000000000,168,254,164,146,133,157, -73.006844000000001, -39.534129000000000
2021,Biobio,Arauco,Biob-Arau,223,CHL-ADM3-31136180B80512469,1839,  25.468073000000000,4318,  18.999244999999998,  18.562107000000001,  17.961117999999999,122,191,149,140,175,48, -73.391163000000006, -37.291347999999999
2021,Antofagasta,Tocopilla,Anto-Toco,224,CHL-ADM3-31136180B71776712,1129,  24.885591999999999,2713,  19.449884000000001,  19.449884000000001,   0.000000000000000,172,245,204,104,87,123, -70.071991999999995, -22.007527000000000
2021,Metropolitana,Padre Hurtado,Metr-Padr,225,CHL-ADM3-31136180B51853331,3260,  25.993131999999999,9555,  18.574576000000000,  18.574576000000000,   0.000000000000000,80,155,96,189,173,194, -70.872056000000001, -33.555390000000003
2021,Metropolitana,Penaflor,Metr-Pena,226,CHL-ADM3-31136180B41412141,4182,  26.271598999999998,11758,  19.421669999999999,  19.421669999999999,   0.000000000000000,67,142,84,106,90,125, -70.903103000000002, -33.611669999999997
2021,Antofagasta,Antofagasta,Anto-Anto,227,CHL-ADM3-31136180B17262903,19490,  28.032101999999998,84419,  21.552605000000000,  21.453308000000000,  19.193726000000002,8,10,6,5,5,29, -69.500366000000000, -24.404634000000001
2021,Antofagasta,Mejillones,Anto-Meji,228,CHL-ADM3-31136180B88609055,603,  24.537965000000000,2110,  19.505033000000001,  18.186437000000002,  19.193726000000002,244,293,227,99,227,30, -70.242029000000002, -22.974625000000000
2021,Antofagasta,Taltal,Anto-Talt,229,CHL-ADM3-31136180B74958366,718,  24.784279999999999,2563,  18.295985999999999,  18.295985999999999,   0.000000000000000,231,256,209,226,214,229, -70.027035999999995, -25.502943999999999
2021,Atacama,Chanaral,Atac-Chan,230,CHL-ADM3-31136180B92019786,788,  24.516269999999999,1559,  18.096823000000001,  18.096823000000001,   0.000000000000000,220,297,261,245,235,248, -70.365059000000002, -26.421764000000000
2021,Maule,Cauquenes,Maul-Cauq,231,CHL-ADM3-31136180B41373736,2789,  25.559764999999999,5404,  20.231446999999999,  19.357593999999999,  19.691293999999999,93,181,132,48,100,15, -72.305156999999994, -35.967202000000000
2021,Valparaiso,Juan Fernandez,Valp-Juan,232,CHL-ADM3-31136180B69494023,94,  22.176023000000001,355,  15.830533000000001,  15.830533000000001,   0.000000000000000,332,344,319,341,340,341, -79.559881000000004, -32.245704000000003
2021,Valparaiso,Isla de Pascua,Valp-Isla,233,CHL-ADM3-31136180B85582553,289,  24.076882999999999,268,  18.420711000000001,  17.977867000000000,  17.392907999999998,302,328,325,209,248,61,-109.221401999999998, -27.104156000000000
2021,Magallanes,Cabo de Hornos,Maga-Cabo,234,CHL-ADM3-31136180B27290658,173,  28.460232999999999,417,  18.076076000000000,  18.076076000000000,   0.000000000000000,323,4,315,247,237,250, -69.599376000000007, -55.123206000000003
2021,Metropolitana,Talagante,Metr-Tala,235,CHL-ADM3-31136180B61213199,3908,  26.261842000000001,14709,  19.465022000000001,  19.465022000000001,   0.000000000000000,71,143,71,102,85,122, -70.907156000000001, -33.681224999999998
2021,Magallanes,Timaukel,Maga-Tima,236,CHL-ADM3-31136180B40438902,22,  27.766508999999999,41,  16.012734999999999,  16.012734999999999,   0.000000000000000,341,83,343,340,339,340, -70.006353000000004, -54.380099000000001
2021,Aysen,Guaitecas,Ayse-Guai,237,CHL-ADM3-31136180B8010566,102,  27.767579999999999,584,  16.864464999999999,  16.864464999999999,   0.000000000000000,331,72,304,319,317,320, -73.786212000000006, -43.961373000000002
2021,Tarapaca,Alto Hospicio,Tara-Alto,238,CHL-ADM3-31136180B51564749,4480,  26.237707000000000,13520,  20.426863000000001,  20.371213999999998,  17.510467999999999,64,145,75,40,36,56, -70.047450999999995, -20.204283000000000
2021,Antofagasta,Sierra Gorda,Anto-Sier,239,CHL-ADM3-31136180B82994788,129,  23.197550000000000,448,  17.148392999999999,  17.148392999999999,   0.000000000000000,325,340,313,311,309,312, -68.963437999999996, -23.283662000000000
2021,Coquimbo,Combarbala,Coqu-Comb,240,CHL-ADM3-31136180B1870724,652,  24.169149000000001,3316,  18.881249000000000,  18.881249000000000,   0.000000000000000,237,320,181,150,137,161, -70.968996000000004, -31.152753000000001
2021,Coquimbo,Punitaqui,Coqu-Puni,241,CHL-ADM3-31136180B93380977,489,  27.772074000000000,1271,  18.097854000000002,  18.097854000000002,   0.000000000000000,264,28,272,244,234,247, -71.313736000000006, -30.921453000000000
2021,Coquimbo,Paihuano,Coqu-Paih,242,CHL-ADM3-31136180B70186546,414,  27.770032000000000,1711,  18.174092999999999,  18.174092999999999,   0.000000000000000,278,46,251,239,229,242, -70.369161000000005, -30.228816999999999
2021,Coquimbo,Illapel,Coqu-Illa,243,CHL-ADM3-31136180B67775223,1910,  25.276532000000000,5954,  19.625292999999999,  19.099329999999998,  18.731287999999999,118,207,123,88,117,36, -70.978129999999993, -31.553193000000000
